"id","amit_wording","cards_original_1","cards_original_2","cards_original_3","cards_original_4","cards_original_5","cards_original_6","cards_original_7","cards_original_8","cards_original_9","cards_original_10","cards_original_11","cards_original_12","cards_original_13","cards_original_14","cards_new_wording_1","cards_new_wording_2","cards_new_wording_3","cards_new_wording_4","cards_new_wording_5","cards_new_wording_6","cards_new_wording_7","cards_new_wording_8","cards_new_wording_9","cards_new_wording_10","cards_new_wording_11","cards_new_wording_12","cards_new_wording_13","cards_new_wording_14","attention_check","manipulation_check_1","manipulation_check_2","manipulation_check_3","manipulation_check_4","manipulation_check_5","manipulation_check_6","manipulation_check_7","manipulation_check_8","manipulation_check_9","manipulation_check_10","manipulation_check_11","manipulation_check_12","manipulation_check_13","manipulation_check_14","BIF_1","BIF_2","BIF_3","BIF_4","BIF_5","BIF_6","BIF_7","BIF_8","BIF_9","BIF_10","BIF_11","BIF_12","BIF_13","BIF_14","BIF_15","BIF_16","BIF_17","BIF_18","BIF_19","BIF_20","BIF_21","BIF_22","BIF_23","BIF_24","BIF_25","comf_acquaint","comf_close","approp_acquaint","approp_close","TIPI_1","TIPI_2","TIPI_3","TIPI_4","TIPI_5","TIPI_6","TIPI_7","TIPI_8","TIPI_9","TIPI_10"
"R_3MyxmPJNINAxi7J","original","P","T","T","P","P","T","P","P","P","T","P","T","T","P","","","","","","","","","","","","","","","1","7","6","6","3","2","6","1","3","1","3","1","6","5","1","2","2","2","2","2","2","2","2","1","1","2","2","1","2","2","2","2","2","2","1","2","1","1","1","2","6","6","6","7","2","5","3","3","5","5","6","4","6","5"
"R_3oLVyuHOoFLKwR9","original","T","P","P","T","T","P","T","T","T","T","P","P","T","T","","","","","","","","","","","","","","","1","5","7","6","2","4","7","1","3","1","3","5","7","5","2","2","1","2","2","2","2","1","2","1","2","2","2","1","2","2","2","1","2","2","2","2","1","2","2","1","5","8","5","8","3","2","4","3","5","6","6","5","5","5"
"R_bfkALQgg1U2sWBj","new","","","","","","","","","","","","","","","P","P","P","T","T","P","T","T","P","T","P","T","P","T","1","7","6","5","4","2","3","1","3","1","2","5","6","5","1","2","1","1","2","2","2","1","2","1","1","1","2","1","2","2","2","2","2","2","1","2","1","2","1","2","3","8","4","8","2","2","3","7","6","7","7","5","6","2"
"R_3dGoHoMmxPipi99","original","P","P","P","T","P","P","T","P","P","P","P","P","P","P","","","","","","","","","","","","","","","3","5","4","4","7","5","4","7","3","6","6","5","5","4","6","2","2","2","2","2","2","2","2","1","1","1","2","2","2","2","1","2","1","1","1","1","1","1","1","2","6","6","5","5","6","5","4","5","4","4","3","3","5","4"
"R_0dYPSTGztcVdiw1","original","T","T","T","T","P","T","P","P","P","P","T","T","T","P","","","","","","","","","","","","","","","1","7","7","7","6","7","7","1","6","1","7","7","7","5","1","2","2","1","2","2","1","2","2","2","1","2","2","2","2","2","2","2","2","2","1","1","1","2","1","2","3","8","5","7","1","1","3","5","5","7","6","1","5","3"
"R_3CWnjfT9kPfgnyA","new","","","","","","","","","","","","","","","T","P","P","P","P","P","P","P","T","P","T","P","P","P","1","7","3","4","3","2","4","1","2","4","3","6","4","3","1","2","1","1","2","1","2","2","2","1","2","2","2","1","2","1","2","2","1","2","1","2","1","1","1","1","3","8","8","8","1","7","7","7","7","7","7","2","1","7"
"R_1HvCvd8SeF8sL73","new","","","","","","","","","","","","","","","T","T","T","P","P","T","P","P","T","P","T","P","P","P","1","5","4","6","3","4","3","1","1","2","2","4","3","3","1","1","1","2","2","2","2","1","2","2","2","1","2","1","2","1","2","1","2","1","2","2","1","2","1","2","3","7","4","8","2","6","3","5","5","6","6","6","7","2"
"R_1dAWZeKkHJvntUF","new","","","","","","","","","","","","","","","T","T","T","T","T","T","T","T","T","T","T","T","T","T","1","5","4","3","2","2","5","1","2","1","2","4","6","3","1","2","1","2","1","2","1","2","1","1","1","2","2","1","2","2","2","2","2","2","1","1","1","2","1","1","3","6","5","8","1","2","5","5","4","6","5","5","5","4"
"R_1i4BZ5jv10w60CR","new","","","","","","","","","","","","","","","P","P","P","P","P","P","P","P","T","T","P","P","P","P","1","6","6","5","2","1","4","1","1","1","1","3","4","3","1","1","2","2","2","2","2","1","2","2","1","2","1","1","2","2","1","1","2","2","1","2","2","2","2","2","6","5","6","4","6","4","4","3","3","4","5","5","3","5"
"R_3JIxrXKmKOMuebG","new","","","","","","","","","","","","","","","T","T","T","T","T","T","P","T","P","T","T","T","T","T","1","5","5","5","4","3","5","1","5","1","3","5","4","4","2","2","2","2","2","2","1","2","1","1","1","2","2","1","1","2","2","2","2","2","1","1","1","2","2","1","5","5","5","5","3","5","6","2","6","4","5","1","7","3"
"R_AnfJLsBM11zSM0h","new","","","","","","","","","","","","","","","T","T","T","T","P","P","P","P","P","P","T","T","T","P","1","4","5","4","6","7","3","7","6","7","4","1","1","2","7","2","1","1","2","1","1","1","1","2","1","2","2","1","1","2","2","1","1","2","1","2","1","1","1","1","3","8","4","8","7","3","7","1","3","1","6","1","7","6"
"R_t0oMVIMbeTbkVTb","new","","","","","","","","","","","","","","","P","P","P","T","T","P","T","P","T","T","P","P","P","T","1","7","5","7","3","3","7","1","5","1","1","5","7","7","1","2","2","2","2","1","1","2","2","1","1","2","2","1","2","2","2","2","1","2","2","2","2","2","2","2","4","7","4","6","1","2","6","4","4","7","4","1","4","2"
"R_31SNiIMqmEp2JjL","new","","","","","","","","","","","","","","","P","T","T","P","P","T","P","P","P","P","T","T","T","P","1","4","3","5","4","6","2","7","6","4","3","3","4","5","6","2","1","2","2","1","2","1","2","1","1","2","2","2","2","2","2","2","1","2","1","2","2","2","1","1","4","8","5","7","3","3","5","6","7","6","6","6","5","5"
"R_2bVRMymUUdHwnlk","new","","","","","","","","","","","","","","","P","P","P","P","P","P","P","P","P","P","P","P","P","P","1","5","4","5","4","5","5","1","3","4","7","6","6","5","2","2","2","1","2","2","1","2","2","1","2","2","2","1","2","2","2","2","1","1","1","1","1","2","1","1","6","6","6","6","1","2","4","6","6","7","4","2","5","4"
"R_At9rEoSbcwcVPBT","new","","","","","","","","","","","","","","","T","T","P","P","P","T","P","T","P","P","P","T","P","P","1","6","4","4","5","7","7","1","4","1","4","3","6","2","1","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","6","8","6","8","7","3","7","1","6","5","7","2","7","2"
"R_2CDu3NZ0D2mgB6K","new","","","","","","","","","","","","","","","P","P","P","T","T","P","T","T","T","T","P","P","T","T","1","6","6","6","4","3","7","1","2","1","3","4","7","3","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","5","7","5","7","5","3","6","5","6","5","4","2","6","4"
"R_1rB3rxYf7r1KgLG","original","P","P","T","P","P","T","P","P","P","P","P","T","T","P","","","","","","","","","","","","","","","1","5","6","6","4","3","4","1","1","1","1","2","5","3","2","2","1","1","2","2","1","2","2","1","1","2","1","1","2","2","2","1","2","2","1","2","1","2","2","1","5","8","5","8","3","6","6","7","6","7","5","2","3","4"
"R_2wGHtNnM68lyfoc","new","","","","","","","","","","","","","","","T","P","P","T","P","T","P","T","P","P","T","T","P","P","1","5","4","3","2","1","4","1","3","1","2","3","6","4","1","1","2","1","2","2","2","1","2","2","1","2","1","1","2","1","2","2","1","2","1","1","1","2","1","1","7","8","5","8","6","5","5","2","3","1","4","2","6","4"
"R_BGvvuJS8MG2V2GB","new","","","","","","","","","","","","","","","P","P","P","P","T","P","T","T","T","T","P","P","T","T","1","6","7","4","4","2","6","1","2","1","2","4","5","3","1","2","1","2","2","2","2","2","2","1","1","2","2","2","2","1","2","2","2","1","1","1","2","2","1","1","3","8","3","8","3","5","5","7","6","6","6","2","4","3"
"R_3EzNmAz8BNzQD48","new","","","","","","","","","","","","","","","P","T","P","P","T","T","P","T","T","P","T","T","P","T","1","2","6","4","5","4","5","2","3","1","4","6","6","4","2","2","2","2","2","1","1","1","2","2","2","1","2","1","2","1","2","2","2","1","1","1","2","2","1","1","3","7","4","7","1","2","2","5","2","4","5","2","3","2"
"R_d0jaaD6Sf8oVQBP","original","P","P","P","T","T","P","T","T","T","P","P","P","T","T","","","","","","","","","","","","","","","1","6","6","6","3","1","7","1","3","1","4","5","5","4","2","2","1","1","2","2","2","2","1","1","1","2","2","2","2","2","2","2","1","1","2","2","1","2","2","2","5","7","5","8","2","5","4","5","6","4","5","2","3","2"
"R_yP8YxrQI3Z7FxUl","new","","","","","","","","","","","","","","","P","P","P","T","T","P","T","T","T","T","P","P","P","T","1","5","7","7","5","3","6","1","2","1","3","6","7","6","3","2","1","2","2","2","1","2","2","1","2","1","2","1","2","2","1","1","1","2","1","1","1","2","1","1","5","7","4","8","3","4","6","7","5","7","3","2","2","6"
"R_wYGirlqHg0BmFI5","new","","","","","","","","","","","","","","","P","P","P","T","T","T","T","T","T","T","P","P","P","T","1","7","5","7","4","3","5","1","2","1","3","6","6","4","2","2","2","1","2","2","1","1","1","1","1","1","2","1","1","1","2","1","1","2","2","2","2","2","1","2","6","7","8","8","2","5","6","5","7","7","6","5","5","5"
"R_1DYDez735NvHdvb","original","T","T","T","P","P","T","P","P","P","P","T","P","T","P","","","","","","","","","","","","","","","1","6","6","6","2","3","7","1","3","1","3","3","6","5","2","2","1","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","6","8","5","8","5","4","5","2","6","5","5","3","3","1"
"R_UVDEob9bJ7wlTGN","new","","","","","","","","","","","","","","","T","T","T","P","P","T","P","T","P","T","T","T","T","P","1","6","6","7","5","4","4","1","4","2","4","4","7","6","2","2","1","2","1","1","2","2","2","1","2","1","2","1","2","2","1","2","1","1","2","2","2","2","1","1","3","5","4","7","5","7","3","6","5","4","4","5","4","1"
"R_2Ed7Qg2riIyJz0B","new","","","","","","","","","","","","","","","T","P","P","T","T","P","T","P","T","P","P","P","P","T","1","5","6","5","3","1","4","1","5","1","3","4","5","3","2","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","1","2","2","2","1","1","1","1","1","1","5","6","3","5","6","7","6","5","7","6","5","6","4","5"
"R_2qqnZFzs63i42R3","new","","","","","","","","","","","","","","","T","T","P","P","P","T","P","P","P","P","P","T","T","P","1","5","4","3","3","2","5","1","3","1","2","4","4","3","2","1","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","2","1","2","2","2","5","7","4","7","5","6","6","5","5","5","5","6","5","4"
"R_1Nll6ZJT3tfCUeQ","new","","","","","","","","","","","","","","","P","P","P","T","T","P","P","T","T","T","T","T","P","P","1","6","7","6","4","4","7","1","6","1","5","6","7","7","2","2","1","1","2","2","2","2","2","1","1","2","2","1","2","2","2","2","2","2","1","2","2","1","1","1","2","2","2","2","2","4","2","6","4","7","3","6","3","1"
"R_29afbg5HHUzqp6C","new","","","","","","","","","","","","","","","P","P","P","T","T","P","T","T","T","P","P","P","P","T","1","5","6","6","4","2","7","1","3","1","4","6","7","5","2","2","1","2","2","1","1","1","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","4","5","3","5","4","2","6","4","4","6","6","3","6","5"
"R_22rjwIvGSMrTijj","original","P","P","P","P","P","P","P","P","P","P","P","P","P","P","","","","","","","","","","","","","","","1","6","5","4","1","2","4","1","3","1","3","4","4","4","2","2","1","2","2","1","1","1","1","1","1","1","2","1","2","1","2","2","2","1","2","2","2","1","1","2","5","7","5","5","3","2","5","5","6","5","2","3","5","1"
"R_AHBt6B3SQIwrkit","new","","","","","","","","","","","","","","","P","P","P","T","T","P","T","P","T","T","P","P","T","T","1","5","4","3","6","5","3","7","4","5","5","2","3","6","7","1","1","2","2","2","1","1","2","2","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","3","4","3","4","5","5","5","7","6","7","6","4","4","3"
"R_3dM1die3riVWOuc","new","","","","","","","","","","","","","","","P","P","P","P","P","P","P","P","P","P","P","P","P","P","1","6","6","6","2","4","7","1","4","3","4","4","6","5","1","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","7","7","7","7","4","4","7","4","7","4","6","1","4","4"
"R_1mwUY32otvz2942","new","","","","","","","","","","","","","","","P","P","T","T","T","P","T","T","P","T","P","P","T","T","1","6","6","4","3","1","4","1","2","1","3","6","7","4","2","2","1","1","2","2","1","1","2","2","2","2","2","1","2","2","2","1","1","2","1","1","2","1","2","2","4","8","4","7","6","4","5","3","5","2","7","1","7","3"
"R_1f7WWDf3pWqyk8J","original","P","P","P","T","T","P","T","P","T","T","P","P","P","T","","","","","","","","","","","","","","","1","4","6","5","3","2","7","1","3","1","3","4","6","5","2","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","2","1","1","1","2","6","3","7","2","2","5","6","6","6","7","1","3","4"
"R_1o10F6vgZ1MQOrU","original","P","T","T","P","P","T","P","P","P","P","T","T","P","P","","","","","","","","","","","","","","","1","6","4","4","5","5","2","7","5","7","6","3","1","3","5","1","1","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","1","7","8","5","8","6","4","4","5","7","2","6","5","4","2"
"R_OD7R1Xg9jfi7XOx","new","","","","","","","","","","","","","","","P","P","P","T","T","P","T","T","T","T","P","P","P","T","1","7","7","7","4","6","7","1","7","1","7","6","7","7","2","2","2","2","2","2","2","2","2","1","2","2","2","1","2","2","2","2","2","2","2","2","1","2","2","2","2","4","5","3","5","6","7","5","5","5","6","3","3","1"
"R_2wpktVdbTyHJgB7","new","","","","","","","","","","","","","","","T","T","T","P","P","P","P","P","P","P","T","T","T","P","1","4","6","5","2","1","3","1","2","1","2","1","3","3","1","2","2","2","2","2","1","2","1","1","2","2","2","1","2","2","2","2","1","2","2","2","2","2","1","1","2","6","2","6","5","3","6","6","6","7","7","2","5","1"
"R_3P4w7jlPzyr6cAK","new","","","","","","","","","","","","","","","P","P","P","T","T","P","T","T","P","T","T","P","P","P","1","7","6","6","5","3","4","1","3","1","4","4","4","3","2","1","1","2","1","1","1","1","1","1","2","1","2","1","2","1","2","2","1","2","2","2","2","2","1","1","5","8","5","7","1","4","2","5","4","6","4","3","5","6"
"R_3wIOlEKUXHjHZ17","original","P","P","P","T","T","P","T","T","T","P","P","P","P","T","","","","","","","","","","","","","","","1","7","6","7","4","6","5","1","4","1","4","6","6","4","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","3","6","5","8","5","4","2","6","5","5","6","4","3","4"
"R_OMVUWNMWK6aYF9v","original","T","T","T","P","P","T","P","P","T","P","T","T","T","P","","","","","","","","","","","","","","","1","5","5","4","4","3","7","1","4","1","3","6","7","4","2","2","2","2","2","2","2","1","2","1","2","2","2","2","2","2","2","2","2","2","1","2","1","2","2","2","3","7","4","7","2","3","5","5","6","5","4","2","4","2"
"R_32L34PjziXK2QYx","original","P","P","P","P","P","P","P","P","P","P","P","P","P","P","","","","","","","","","","","","","","","1","5","6","6","4","5","7","1","3","4","6","6","7","5","1","2","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","1","2","1","2","2","2","2","1","1","8","8","8","8","4","5","3","7","7","6","5","2","2","4"
"R_2YL09hVMWCA9glc","new","","","","","","","","","","","","","","","T","T","T","P","P","T","P","T","P","P","T","T","T","P","1","1","3","3","7","3","3","7","5","4","5","2","2","2","7","2","1","2","2","2","2","1","2","2","1","2","2","1","1","2","1","2","1","2","1","1","1","2","1","2","6","8","8","8","3","3","3","6","6","6","6","1","3","2"
"R_3Q00JPS7R3Cbh4A","original","T","T","T","T","T","T","T","T","T","T","T","T","T","P","","","","","","","","","","","","","","","1","7","7","6","4","4","7","1","3","1","2","4","7","5","1","2","1","2","2","1","1","2","2","1","2","1","1","1","2","1","1","2","1","1","1","1","2","1","1","1","5","4","5","5","2","2","7","7","3","6","4","4","3","4"
"R_2ajmNXDQ1AmXZSx","original","T","T","T","P","P","T","P","T","P","P","P","T","T","P","","","","","","","","","","","","","","","1","3","2","2","5","3","2","5","4","7","6","3","3","3","5","2","1","2","2","2","1","2","2","1","1","1","1","1","2","2","2","2","2","2","2","2","1","2","1","2","6","8","8","7","2","5","4","6","5","3","4","3","2","3"
"R_32RPjBTqGgHKJw7","new","","","","","","","","","","","","","","","T","T","P","P","P","P","P","T","P","T","T","P","T","P","1","6","6","4","3","2","4","2","3","1","3","2","4","3","2","1","1","1","2","2","2","2","2","1","2","2","1","1","2","2","2","2","2","2","1","2","2","1","1","1","4","5","5","6","1","4","4","7","6","7","5","3","4","1"
"R_1BWdzTSLuPdbEkm","new","","","","","","","","","","","","","","","P","P","P","P","P","P","P","P","P","P","P","P","P","P","1","7","7","5","2","4","7","2","7","1","3","4","7","5","2","1","2","2","2","2","2","1","2","2","1","2","1","1","2","1","1","2","2","2","1","2","1","2","1","2","2","7","2","7","6","5","6","1","5","6","3","1","6","6"
"R_3g6IYGsyOk2ziFL","new","","","","","","","","","","","","","","","P","P","P","P","T","P","T","T","T","P","P","P","P","T","1","7","7","6","2","7","6","1","3","1","3","7","6","4","1","2","1","1","2","2","1","2","1","2","2","2","2","1","2","2","2","1","2","2","1","1","2","1","1","1","2","8","3","7","6","2","4","3","6","5","7","5","6","1"
"R_3exLbz6U3uYAsxk","new","","","","","","","","","","","","","","","P","P","P","T","T","P","T","T","T","T","P","P","T","T","1","7","6","6","4","2","7","1","2","1","3","5","6","2","1","2","2","2","2","2","1","1","1","1","1","2","2","1","2","1","2","2","2","1","2","2","2","2","1","2","6","8","6","8","2","3","5","5","6","7","7","3","5","5"
"R_2uX1yxJLJ1IsaJx","original","T","T","T","P","P","T","P","P","P","P","T","T","T","P","","","","","","","","","","","","","","","1","7","7","7","5","3","7","2","6","3","3","7","7","5","2","2","1","2","2","2","1","2","2","2","1","2","2","1","2","1","1","1","1","1","1","1","1","2","2","2","3","8","3","7","2","6","6","3","6","6","3","4","3","3"
"R_3Hud3ZVWFvqepx7","original","P","P","T","T","T","T","T","T","T","T","P","T","T","T","","","","","","","","","","","","","","","1","2","3","3","6","4","4","6","4","4","4","4","4","5","6","2","1","2","2","2","2","1","1","1","1","1","1","1","1","1","2","2","1","1","2","2","1","2","1","1","6","8","6","8","1","7","4","6","4","6","4","3","3","5"
"R_SYRycvyU3FpNt9D","new","","","","","","","","","","","","","","","P","P","P","P","P","P","T","P","T","T","P","P","P","T","1","3","5","3","4","2","6","1","3","1","2","3","6","3","2","2","1","1","2","2","1","2","2","1","1","2","1","1","2","1","1","2","2","2","1","2","1","2","1","1","5","5","5","5","6","6","5","4","4","3","6","5","5","6"
"R_sYEyWGREcjuzpnj","original","P","P","P","P","T","P","P","P","T","P","T","P","P","P","","","","","","","","","","","","","","","1","6","6","5","4","6","6","2","4","6","5","6","5","6","2","2","2","1","1","2","1","1","2","1","1","2","2","1","2","2","1","2","2","1","1","1","1","2","1","1","6","7","5","7","1","4","3","5","3","2","2","5","2","6"
"R_2zZQ4FIW9KZRPYu","original","T","T","T","P","P","T","P","P","P","P","T","T","P","P","","","","","","","","","","","","","","","1","7","5","7","4","2","7","1","4","1","2","4","7","3","2","2","1","1","2","2","2","1","2","2","1","1","1","1","2","2","2","1","2","2","2","1","1","1","1","1","4","7","5","5","5","6","4","7","5","3","4","1","2","4"
"R_2U3IfBOvnwxRd4t","original","P","P","P","T","T","P","T","T","T","T","P","P","T","T","","","","","","","","","","","","","","","1","6","6","6","4","3","5","1","3","1","2","4","5","3","1","2","1","1","2","2","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","2","1","1","3","6","3","8","2","6","6","6","5","6","5","5","6","5"
"R_dbZOzNE6XX61nCF","original","P","T","T","T","T","P","T","P","T","T","P","P","P","T","","","","","","","","","","","","","","","1","2","2","4","5","6","2","6","3","7","4","3","1","5","6","1","2","1","2","2","1","1","2","1","1","2","1","1","2","1","2","2","2","2","1","2","2","2","1","2","6","7","5","6","5","6","4","2","6","4","6","5","3","6"
"R_3CTWeyncXuRAIjA","new","","","","","","","","","","","","","","","T","T","P","P","P","P","P","P","T","P","T","T","P","P","1","6","5","4","5","2","4","1","2","2","3","4","4","3","2","2","1","1","2","2","2","2","1","1","1","1","1","2","2","2","1","2","1","2","1","1","1","1","1","1","7","6","6","6","4","4","6","4","6","4","6","4","6","6"
"R_2urp5HyC8PTdX42","new","","","","","","","","","","","","","","","T","T","T","T","P","T","P","T","P","P","T","T","T","P","1","4","4","4","3","5","6","1","2","1","4","6","6","5","2","2","2","1","2","2","2","2","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","3","8","4","8","5","4","6","5","5","5","6","3","5","2"
"R_1FIBwTe24XXYDrx","original","P","T","T","P","P","T","P","P","P","P","P","T","T","P","","","","","","","","","","","","","","","1","4","5","3","2","3","4","1","2","1","3","3","5","3","1","2","2","2","2","1","2","2","2","1","1","1","2","1","2","2","2","2","2","1","1","1","2","2","2","1","4","6","5","5","1","5","5","6","3","6","5","2","3","5"
"R_4TJGuDKwhg8Kxnb","original","T","T","T","P","P","T","P","T","P","T","T","T","T","P","","","","","","","","","","","","","","","1","7","6","4","4","2","6","1","3","1","3","4","7","4","2","2","1","2","2","2","1","1","1","2","1","1","2","1","1","2","1","2","1","2","1","1","2","1","1","1","3","6","5","7","3","5","6","5","6","5","6","3","3","5"
"R_Xzc3ybx9EUFjT8J","original","T","T","P","T","P","T","P","T","P","P","P","P","T","T","","","","","","","","","","","","","","","1","2","5","3","3","6","2","7","4","6","3","2","2","4","6","2","1","2","2","2","2","1","2","1","2","2","2","1","2","2","1","1","2","1","1","1","2","2","2","1","8","6","5","5","3","5","6","3","6","7","5","2","6","4"
"R_3KuA4VPy29ie5aL","new","","","","","","","","","","","","","","","P","P","P","P","P","P","T","T","T","P","P","P","P","T","1","7","5","5","4","6","6","1","2","1","4","6","6","2","1","2","1","1","2","2","2","2","2","1","1","1","2","1","2","2","2","1","2","2","2","2","1","2","1","1","2","3","2","4","4","3","5","4","5","3","6","2","5","2"
"R_1gO3I3BFmnnweXx","original","P","P","P","T","T","P","T","T","T","T","P","P","P","T","","","","","","","","","","","","","","","1","4","5","5","6","1","6","1","3","1","1","4","5","4","1","2","1","1","2","2","2","1","2","2","2","2","2","1","1","1","2","2","2","1","2","2","2","2","2","2","6","8","7","8","1","4","6","7","4","3","6","2","1","1"
"R_3fqKbcNlAWqFipj","new","","","","","","","","","","","","","","","T","P","P","P","P","T","P","P","T","P","T","T","T","P","1","5","6","5","2","3","6","1","4","1","3","7","7","5","1","1","2","1","2","1","1","1","1","1","1","2","1","2","2","2","2","2","1","2","1","2","1","2","1","1","8","8","4","7","3","6","2","1","6","5","2","7","7","2"
"R_3IRHmzienTt6nFe","original","T","T","T","T","T","T","T","T","T","T","T","T","T","T","","","","","","","","","","","","","","","1","3","5","5","2","2","6","1","4","1","2","4","5","4","2","2","1","1","2","1","2","1","2","1","1","1","2","1","2","1","2","2","1","2","1","1","1","2","1","2","3","6","4","7","2","2","5","5","4","5","5","2","6","3"
"R_djpiHGBHztmjgUV","new","","","","","","","","","","","","","","","P","P","P","P","P","T","T","P","T","P","P","P","T","T","1","4","4","5","6","5","7","3","5","1","3","7","7","7","3","2","1","2","2","2","2","1","1","2","1","1","1","1","2","1","1","2","1","1","2","1","1","2","2","2","6","8","6","5","2","2","6","2","7","6","7","2","7","2"
"R_wL5PtrdqOBPy6OZ","new","","","","","","","","","","","","","","","T","T","T","P","P","P","P","P","P","P","T","T","T","P","1","5","6","5","4","3","6","1","5","1","3","5","6","4","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","1","2","6","8","5","8","5","2","6","2","6","2","7","2","6","2"
"R_3XfJB4Qy95Redfr","original","T","T","P","P","P","T","P","P","T","T","T","T","P","P","","","","","","","","","","","","","","","1","4","3","3","3","3","6","1","2","2","2","3","4","3","1","2","1","1","2","1","1","1","2","1","1","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","5","7","5","7","5","6","5","7","6","3","6","6","1","4"
"R_3lDrneVhds0872n","original","T","T","T","P","P","T","P","T","P","P","T","T","T","P","","","","","","","","","","","","","","","1","5","5","5","3","3","6","1","5","1","3","5","5","4","2","2","2","1","2","2","2","2","1","2","1","2","1","1","2","1","1","2","1","2","2","1","2","1","1","1","5","8","5","8","3","6","6","5","6","6","6","1","6","2"
"R_1EgtE2crHgqrTB6","original","T","T","T","P","T","T","P","T","P","P","T","T","P","P","","","","","","","","","","","","","","","1","3","5","5","2","5","6","1","4","1","2","5","6","3","1","1","1","1","2","1","1","1","2","2","1","1","2","1","2","2","2","2","1","2","2","2","1","1","2","1","5","8","6","8","5","6","3","7","3","4","7","2","2","4"
"R_qKPL0KvJstqtc2J","new","","","","","","","","","","","","","","","P","P","T","T","T","T","T","P","T","T","P","P","P","T","1","7","7","5","4","3","5","2","4","2","3","5","5","4","3","2","2","2","2","2","1","1","2","1","1","2","2","1","2","2","2","2","1","2","2","2","2","2","1","2","4","7","7","7","1","2","6","2","5","5","6","3","5","2"
"R_RFCEIxU3232zkel","original","P","P","P","P","P","P","P","P","T","P","P","P","P","T","","","","","","","","","","","","","","","1","6","7","5","5","4","5","2","4","2","3","4","6","3","3","1","1","2","1","2","1","2","1","1","2","1","1","2","2","2","1","1","1","2","1","1","2","1","1","1","4","6","5","5","3","4","5","2","5","5","6","3","7","3"
"R_sjnb89HyS1eW3Rv","original","T","T","T","P","T","T","P","P","P","P","T","P","P","P","","","","","","","","","","","","","","","1","6","7","4","3","4","4","1","2","1","3","4","4","5","1","1","2","1","1","2","1","1","2","1","2","2","2","1","1","1","2","2","1","1","1","1","1","1","1","2","5","8","4","8","4","4","3","5","5","5","5","6","7","5"
"R_27vdyYhEvE49O8d","new","","","","","","","","","","","","","","","T","P","P","P","P","T","T","T","T","T","P","P","P","T","1","6","6","7","5","3","5","1","4","1","3","4","5","6","2","2","2","1","2","2","2","2","2","2","2","1","2","1","2","2","2","2","1","1","1","2","1","1","1","1","2","8","5","7","6","2","1","1","2","7","5","4","7","3"
"R_0Bc3ne2eogjggz7","original","P","P","P","T","T","P","T","T","T","P","P","P","T","T","","","","","","","","","","","","","","","1","5","3","3","7","5","2","7","5","7","5","4","2","5","6","2","2","1","2","2","2","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","8","6","7","7","5","5","6","7","6","5","7","1","6","2"
"R_1gwphdlw2cDRiuF","original","P","T","T","P","P","T","P","P","P","P","P","T","T","P","","","","","","","","","","","","","","","1","6","5","5","3","3","7","2","5","1","3","4","7","5","2","1","1","1","1","2","1","1","2","1","1","1","1","1","1","2","1","2","1","2","1","1","1","1","1","1","4","5","5","6","3","4","5","6","3","5","5","5","3","4"
"R_3EfJiNWJzUKftxW","original","P","P","P","P","T","P","T","T","T","T","P","P","P","T","","","","","","","","","","","","","","","1","6","5","5","4","4","6","1","3","1","4","4","6","5","2","1","1","1","2","2","2","2","2","1","1","1","1","1","2","1","2","2","2","2","1","1","2","2","1","2","5","7","6","8","5","3","5","2","4","6","5","3","6","3"
"R_2xx8BDx2w5ujD9I","new","","","","","","","","","","","","","","","P","P","P","T","T","P","T","T","T","P","P","P","T","T","1","6","6","7","6","4","5","1","3","1","6","4","7","6","2","1","2","2","1","1","1","1","1","1","2","1","1","1","1","1","1","2","1","1","1","2","1","2","1","2","3","7","5","7","3","7","5","7","4","6","4","2","5","1"
"R_1oA8Ydyv9MeRBih","original","P","P","P","T","T","P","T","T","T","T","P","P","P","T","","","","","","","","","","","","","","","1","3","4","6","2","2","7","1","4","2","3","5","7","5","1","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","1","2","1","1","6","8","6","8","2","5","3","5","5","7","6","2","4","3"
